Year;Month;Day;Hour;Minute;Speed;Direction
2019;05;27;00;00;18.95;141.17
2019;05;27;01;00;12.18;161.03
2019;05;27;02;00;5.99;147.26
2019;05;27;03;00;2.10;149.04
2019;05;27;04;00;4.45;284.04
2019;05;27;05;00;6.99;325.49
2019;05;27;06;00;9.00;343.74
2019;05;27;07;00;10.24;349.88
2019;05;27;08;00;5.24;344.05
2019;05;27;09;00;7.79;303.69
2019;05;27;10;00;12.41;299.54
2019;05;27;11;00;15.07;310.16
2019;05;27;12;00;18.71;300.02
2019;05;27;13;00;20.77;297.90
2019;05;27;14;00;20.81;210.11
2019;05;27;15;00;23.93;195.71
2019;05;27;16;00;26.30;182.35
2019;05;27;17;00;20.01;171.72
2019;05;27;18;00;11.49;147.80
2019;05;27;19;00;5.76;90.00
2019;05;27;20;00;12.23;312.61
2019;05;27;21;00;31.61;329.93
2019;05;27;22;00;35.10;334.49
2019;05;27;23;00;34.30;334.51
2019;05;28;00;00;32.39;335.71
2019;05;28;01;00;32.54;335.14
2019;05;28;02;00;34.39;329.14
2019;05;28;03;00;36.67;328.65
2019;05;28;04;00;36.54;325.84
2019;05;28;05;00;35.55;326.15
2019;05;28;06;00;35.15;325.01
2019;05;28;07;00;34.35;321.81
2019;05;28;08;00;34.95;318.76
2019;05;28;09;00;38.20;316.53
2019;05;28;10;00;41.78;312.90
2019;05;28;11;00;43.53;314.66
2019;05;28;12;00;45.36;317.57
2019;05;28;13;00;45.79;323.31
2019;05;28;14;00;43.24;320.74
2019;05;28;15;00;43.92;322.66
2019;05;28;16;00;41.94;327.26
2019;05;28;17;00;41.56;328.10
2019;05;28;18;00;42.91;329.78
2019;05;28;19;00;44.72;337.77
2019;05;28;20;00;46.91;342.12
2019;05;28;21;00;45.31;340.99
2019;05;28;22;00;45.67;339.71
2019;05;28;23;00;46.19;338.03
2019;05;29;00;00;45.59;335.26
2019;05;29;01;00;44.76;334.26
2019;05;29;02;00;43.95;333.23
2019;05;29;03;00;42.99;333.65
2019;05;29;04;00;43.15;334.29
2019;05;29;05;00;43.15;334.29
2019;05;29;06;00;41.87;334.54
2019;05;29;07;00;40.57;333.66
2019;05;29;08;00;42.51;332.78
2019;05;29;09;00;45.40;333.64
2019;05;29;10;00;48.33;335.34
2019;05;29;11;00;48.48;334.96
2019;05;29;12;00;49.93;335.28
2019;05;29;13;00;49.61;335.11
2019;05;29;14;00;44.34;336.56
2019;05;29;15;00;45.73;338.28
2019;05;29;16;00;46.01;339.86
2019;05;29;17;00;46.45;341.00
2019;05;29;18;00;46.45;341.00
2019;05;29;19;00;46.91;342.12
2019;05;29;20;00;46.24;343.26
2019;05;29;21;00;44.71;345.07
2019;05;29;22;00;40.81;348.29
2019;05;29;23;00;34.57;351.62
2019;05;30;00;00;30.70;355.29
2019;05;30;01;00;30.63;357.31
2019;05;30;02;00;28.80;0.72
2019;05;30;03;00;26.88;7.70
2019;05;30;04;00;28.93;16.63
2019;05;30;05;00;26.47;22.38
2019;05;30;06;00;24.86;34.38
2019;05;30;07;00;26.01;48.37
2019;05;30;08;00;12.41;60.46
2019;05;30;09;00;1.94;248.20
2019;05;30;10;00;5.80;209.74
2019;05;30;11;00;8.85;206.57
2019;05;30;12;00;10.18;225.00
2019;05;30;13;00;11.59;233.84
2019;05;30;14;00;11.30;217.23
2019;05;30;15;00;11.75;229.97
2019;05;30;16;00;11.97;223.78
2019;05;30;17;00;12.89;215.91
2019;05;30;18;00;12.54;219.17
2019;05;30;19;00;13.00;228.37
2019;05;30;20;00;12.31;232.13
2019;05;30;21;00;10.46;220.82
2019;05;30;22;00;8.77;199.18
2019;05;30;23;00;7.93;182.60
2019;05;31;00;00;8.16;138.58
2019;05;31;01;00;13.20;115.87
2019;05;31;02;00;16.28;108.03
2019;05;31;03;00;13.71;103.67
2019;05;31;04;00;10.85;95.71
2019;05;31;05;00;9.83;113.75
2019;05;31;06;00;9.73;128.99
2019;05;31;07;00;9.73;141.01
2019;05;31;08;00;9.50;155.38
2019;05;31;09;00;8.91;165.96
2019;05;31;10;00;9.45;162.26
2019;05;31;11;00;11.28;163.30
2019;05;31;12;00;15.32;156.45
2019;05;31;13;00;18.51;153.43
2019;05;31;14;00;24.16;151.53
2019;05;31;15;00;26.08;153.79
2019;05;31;16;00;25.20;158.20
2019;05;31;17;00;23.47;159.34
2019;05;31;18;00;20.73;159.68
2019;05;31;19;00;18.39;156.95
2019;05;31;20;00;16.27;155.14
2019;05;31;21;00;14.19;144.29
2019;05;31;22;00;13.51;138.24
2019;05;31;23;00;12.03;141.07
2019;06;01;00;00;8.71;141.71
2019;06;01;01;00;5.90;127.57
2019;06;01;02;00;5.48;113.20
2019;06;01;03;00;4.80;102.99
2019;06;01;04;00;4.02;100.30
2019;06;01;05;00;4.02;100.30
2019;06;01;06;00;4.02;100.30
2019;06;01;07;00;3.55;113.96
2019;06;01;08;00;3.08;159.44
2019;06;01;09;00;4.90;233.97
2019;06;01;10;00;6.12;241.93
2019;06;01;11;00;7.29;237.09
2019;06;01;12;00;9.00;233.13
2019;06;01;13;00;10.18;225.00
2019;06;01;14;00;14.26;227.05
2019;06;01;15;00;14.34;231.12
2019;06;01;16;00;14.34;231.12
2019;06;01;17;00;13.10;232.82
2019;06;01;18;00;11.79;238.74
2019;06;01;19;00;10.31;245.22
2019;06;01;20;00;8.31;252.35
2019;06;01;21;00;6.12;270.00
2019;06;01;22;00;3.42;288.43
